Date,Open,High,Low,Close,Volume,RSI_14,Buy_Sell
2025-07-01,1528.4000244140625,1531.4000244140625,1500.0999755859375,1500.5999755859375,10368523,65.37595517240197,0
2025-07-02,1518.800048828125,1530.0,1508.699951171875,1528.4000244140625,6361002,68.885516859293,0
2025-07-03,1517.800048828125,1531.9000244140625,1513.0,1520.800048828125,11283291,77.43763277903493,-1
2025-07-04,1527.300048828125,1530.0,1517.199951171875,1524.0,6603501,77.47592963723648,-1
2025-07-07,1541.5,1544.800048828125,1525.0,1526.5999755859375,7251074,74.8419529697718,-1
2025-07-08,1537.5999755859375,1544.9000244140625,1530.199951171875,1536.0,7171261,85.42778435999621,-1
2025-07-09,1519.0,1551.0,1510.0999755859375,1536.699951171875,8870660,85.4859932105533,-1
2025-07-10,1517.199951171875,1524.699951171875,1507.5,1519.699951171875,10047129,76.66864856532558,-1
2025-07-11,1495.199951171875,1515.0,1490.300048828125,1512.0,7234991,69.40789473684211,0
2025-07-14,1483.699951171875,1500.0,1479.0999755859375,1492.199951171875,10311846,58.51062041950008,0
2025-07-15,1485.4000244140625,1496.5,1482.4000244140625,1486.199951171875,8132454,56.73542008322704,0
2025-07-16,1485.5999755859375,1491.0,1471.5,1473.0,10409983,51.127826449787726,0
2025-07-17,1476.4000244140625,1489.5999755859375,1473.9000244140625,1487.4000244140625,11854613,46.17834394904459,0
2025-07-18,1476.0,1484.800048828125,1469.0999755859375,1484.800048828125,10296318,40.01377074649552,0
2025-07-21,1428.5999755859375,1476.0,1423.0999755859375,1465.0,22442744,38.274047179635645,0
2025-07-22,1412.800048828125,1431.9000244140625,1410.699951171875,1427.4000244140625,20396320,18.749971673014443,1
2025-07-23,1424.5999755859375,1426.0,1414.4000244140625,1426.0,8354596,19.49803461960228,1
2025-07-24,1402.9000244140625,1423.0,1396.0,1419.199951171875,14740507,17.044009802476424,1
2025-07-25,1391.699951171875,1401.0,1384.0999755859375,1398.9000244140625,11854722,13.865312263821169,1
2025-07-28,1387.5999755859375,1407.800048828125,1385.0,1392.300048828125,7748361,8.68314207335736,1
2025-07-29,1417.0999755859375,1420.199951171875,1383.0,1383.0,10750072,7.890424336472591,1
2025-07-30,1410.0999755859375,1423.300048828125,1401.300048828125,1418.0999755859375,7209849,24.67597508694317,1
2025-07-31,1390.199951171875,1402.5999755859375,1382.199951171875,1388.0999755859375,17065827,22.207265400764623,1
2025-08-01,1393.699951171875,1405.9000244140625,1384.300048828125,1386.9000244140625,10321171,24.229083576069897,1
2025-08-04,1411.5,1416.0999755859375,1391.699951171875,1395.0999755859375,6312820,27.941881491824237,1
2025-08-05,1391.699951171875,1411.0,1388.0999755859375,1411.0,9314524,35.18164090079976,0
