,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal,Daily_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
1970-01-01 00:00:00.000000059,1970-01-01 00:00:00.000000059,1970-01-01 00:00:00.000000059,2025-05-06,3417.91796875,3430.759857071893,3395.1977047958817,3417.91796875,1324763,3318.2525146484377,3469.004931640625,0,0.0016500999625879142,0.0,0.8457383036581503,1.0
1970-01-01 00:00:00.000000060,1970-01-01 00:00:00.000000060,1970-01-01 00:00:00.000000060,2025-05-07,3403.19921875,3417.4239829127787,3378.997198925932,3378.997198925932,1477128,3320.32451171875,3459.928681640625,0,-0.004306349694338296,-0.0,0.8420962587727018,1.0
1970-01-01 00:00:00.000000061,1970-01-01 00:00:00.000000061,1970-01-01 00:00:00.000000061,2025-05-08,3406.952880859375,3434.7112128994936,3386.998610284149,3406.063923519544,2543591,3327.70859375,3451.545888671875,0,0.001102980421685107,0.0,0.8430250744593023,1.0
1970-01-01 00:00:00.000000062,1970-01-01 00:00:00.000000062,1970-01-01 00:00:00.000000062,2025-05-09,3398.45751953125,3404.285664518617,3356.7708237929633,3357.659781105859,2531757,3335.919995117188,3444.753515625,0,-0.0024935364899975054,-0.0,0.8409229606741552,1.0
1970-01-01 00:00:00.000000063,1970-01-01 00:00:00.000000063,1970-01-01 00:00:00.000000063,2025-05-12,3576.366943359375,3586.344199009816,3459.604594038759,3462.370587392757,2228678,3352.093359375,3441.6121923828123,0,0.05235005081148225,0.0,0.8849453203939893,1.0
1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000064,2025-05-13,3472.2490234375,3578.935479918652,3467.803754417452,3576.3670057941126,3062887,3365.350134277344,3436.2581103515627,0,-0.029112762076945686,-0.0,0.8591821178302527,1.0
1970-01-01 00:00:00.000000065,1970-01-01 00:00:00.000000065,1970-01-01 00:00:00.000000065,2025-05-14,3505.5390625,3517.689512589028,3465.9269214811093,3478.1760106222882,2119499,3381.017236328125,3433.7509765625,0,0.009587457246814424,0.0,0.8674194896521776,1.0
1970-01-01 00:00:00.000000066,1970-01-01 00:00:00.000000066,1970-01-01 00:00:00.000000066,2025-05-15,3536.359619140625,3556.21525075921,3471.360099994329,3520.653098251618,3548330,3397.400524902344,3432.7700537109376,0,0.00879195926535914,0.0,0.8750458064711782,1.0
1970-01-01 00:00:00.000000067,1970-01-01 00:00:00.000000067,1970-01-01 00:00:00.000000067,2025-05-16,3517.98583984375,3550.1891985825587,3502.970757638989,3550.1891985825587,1666727,3411.600695800781,3431.75751953125,0,-0.005195676140352545,-0.0,0.8704993518527804,1.0
1970-01-01 00:00:00.000000068,1970-01-01 00:00:00.000000068,1970-01-01 00:00:00.000000068,2025-05-19,3476.002685546875,3506.823167687793,3461.0862426467947,3506.823167687793,2537377,3422.461962890625,3432.4598681640623,0,-0.011933861080788088,-0.0,0.8601109335168532,1.0
1970-01-01 00:00:00.000000069,1970-01-01 00:00:00.000000069,1970-01-01 00:00:00.000000069,2025-05-20,3455.752197265625,3514.726051583229,3451.5044475075333,3488.8447556489973,2038374,3431.189514160156,3432.56359375,0,-0.005825797651265008,-0.0,0.8551001012605434,1.0
